#label	score
SFRS12	NaN
THRAP3	NaN
BMF	1.20038
FLJ22028	NaN
RP13-383K5.1	NaN
CD200	NaN
PITPNM2	NaN
WNK1	NaN
USP22	NaN
INSL3	NaN
PSMB1	NaN
RAB3GAP2	NaN
EXOSC5	0.442933
HOMER2	NaN
NBPF3	NaN
SLAMF6	NaN
TRAM1	NaN
CSNK1G3	NaN
MSLN	NaN
C14orf32	NaN
NAG	NaN
HNRPLL	NaN
RPS6KA5	NaN
TIFA	NaN
MARCO	NaN
TDRD7	NaN
RND1	NaN
FZD1	NaN
TNKS2	NaN
EPS15L1	NaN
CXorf26	NaN
NRL	NaN
RYBP	NaN
C6orf166	NaN
WDR42A	NaN
CYCS	1.25949
SLC9A7	NaN
RAB11FIP4	NaN
Pfs2	NaN
TSPAN7	NaN
JMJD2B	NaN
SNIP1	NaN
PTD004	NaN
ARL6	NaN
FLJ12716	NaN
MGST2	NaN
TRIB3	NaN
WDR33	NaN
DKK1	NaN
MED28	NaN
GOT1	NaN
GRINL1A	NaN
DBF4B	NaN
PHF10	NaN
NUMB	5.53185
WBSCR1	NaN
RASSF5	NaN
RAP1B	NaN
RAP80	NaN
PCQAP	NaN
PPP1R15A	NaN
CDT1	NaN
MYO9A	NaN
TTK	NaN
RCOR3	NaN
RAB35	NaN
MUS81	NaN
PPCDC	NaN
ZNF287	NaN
HPS5	NaN
CDKN2D	NaN
CHIC2	NaN
ARID4B	NaN
SRCAP	NaN
WIPI1	NaN
CASC5	NaN
MTMR9	NaN
TP53I3	NaN
STK39	4.15125
NADK	NaN
RTN4	NaN
TINF2	NaN
ST14	NaN
IL17RB	NaN
NMNAT1	NaN
HELZ	NaN
BTBD15	NaN
GNG2	NaN
RAB22A	NaN
EPHA1	NaN
GORASP1	NaN
ZNFN1A5	NaN
SEMA4A	NaN
MMP10	NaN
BTBD2	NaN
NIF3L1	NaN
RLN1	NaN
CCL16	NaN
IL21R	NaN
CXCR6	NaN
PTBP2	NaN
SLAMF7	NaN
WRNIP1	NaN
SEC23IP	NaN
HTATIP2	NaN
ATF7IP	NaN
COQ9	NaN
RAI17	NaN
APTX	NaN
MKL1	NaN
RIF1	NaN
PBK	NaN
DUSP12	NaN
STAU2	NaN
FLJ20364	NaN
C7orf20	NaN
RASGRP2	NaN
ARID1B	NaN
REXO1	NaN
PLCL2	NaN
SCYL1	NaN
SFRS16	NaN
ARPC2	NaN
IRAK4	NaN
TTC17	NaN
CDKL1	NaN
UQCRC2	NaN
ASCC3L1	NaN
RASSF7	NaN
PBX3	NaN
CLOCK	NaN
NUP210	NaN
ZFPM2	NaN
ZDHHC3	NaN
ARL4C	NaN
QSCN6	NaN
PDIA5	NaN
TRIB2	NaN
C14orf130	NaN
FAM46A	NaN
LY6E	NaN
KIAA0251	NaN
GLMN	NaN
ERBB2IP	NaN
EAF2	NaN
EIF2C2	NaN
SHFM1	NaN
RPL37A	NaN
RBM5	NaN
PSPC1	NaN
ZNF259	NaN
DMTF1	NaN
ZNF518	NaN
RRBP1	NaN
TTC3	NaN
SENP3	NaN
PEX6	NaN
PRPF40A	0.904686
PDCD7	NaN
ZCCHC8	NaN
CRKRS	NaN
BRD4	NaN
RBAF600	NaN
RLF	NaN
MMP11	NaN
KEAP1	NaN
LSM8	NaN
FLJ20625	NaN
DKFZP779L1558	NaN
BSCL2	NaN
PKMYT1	NaN
THAP1	NaN
ZCCHC10	NaN
XRN1	NaN
THRAP5	NaN
CRSP2	NaN
IFITM2	NaN
NOL8	NaN
TESC	NaN
KIAA0232	NaN
PHKB	NaN
RRAS2	NaN
C10orf18	NaN
PIGF	NaN
SYT17	NaN
RP11-502H18.1	NaN
TRPM7	NaN
M-RIP	NaN
PLEKHC1	NaN
MYO1C	NaN
USP33	NaN
AKR1A1	NaN
TRIAD3	NaN
RAD50	NaN
FZD6	NaN
TREM1	NaN
TMCC2	NaN
GNB5	NaN
CEP57	NaN
NLK	NaN
DBF4	NaN
ITSN2	NaN
MTHFR	NaN
SNX9	NaN
IFIT5	NaN
SNW1	NaN
LUC7L2	NaN
CCDC53	NaN
DRAP1	NaN
ERGIC3	NaN
IMPDH2	NaN
LEF1	NaN
MBIP	NaN
C6orf55	NaN
CXCL13	NaN
CCL13	1.31495
PPHLN1	NaN
MTA1	NaN
PRKAG1	NaN
TOMM34	NaN
TAOK3	NaN
SP4	NaN
RCOR1	NaN
RPL13A	NaN
POLA2	NaN
NIN	NaN
FABP3	NaN
POLR1C	3.49134
TRAT1	NaN
IL10RB	NaN
ZFP161	NaN
SLC1A4	NaN
BLNK	0.174084
SH3KBP1	0.215314
TCL1B	NaN
FZD7	NaN
CUGBP2	NaN
RIBC2	NaN
MAPKAPK3	NaN
ASNS	NaN
PRKCBP1	NaN
BRE	NaN
CDC2L5	NaN
TNFAIP8	NaN
HYPB	NaN
CIC	NaN
DENR	NaN
GIT2	NaN
PTPRZ1	NaN
ARHGEF6	NaN
DLL1	NaN
MAT2A	NaN
PDCD4	NaN
SIT1	NaN
IL18R1	NaN
IL18BP	NaN
RNF19	NaN
MAST2	NaN
CDC37	NaN
FOXP1	NaN
GRAP	NaN
ACAD8	NaN
TXNIP	NaN
NPHP3	NaN
POLI	NaN
HUWE1	-1.45024
EPN2	NaN
PABPC1	NaN
SIN3A	NaN
DICER1	NaN
HIPK3	NaN
PAXIP1	NaN
GGA1	NaN
SH2BP1	NaN
MACF1	NaN
SKIV2L2	NaN
UPF2	NaN
L3MBTL	NaN
MXD4	NaN
CBX5	NaN
EPHX2	NaN
ZNF202	NaN
NOLC1	NaN
COG1	NaN
EIF4E2	NaN
GCA	NaN
SLC9A3R2	NaN
LSM6	NaN
XPO6	NaN
CD2AP	NaN
DAPK2	NaN
BCLAF1	NaN
STYX	NaN
FGF12	NaN
CLCF1	NaN
CABIN1	NaN
KLRG1	NaN
MELK	NaN
EXOC7	NaN
NOMO1	NaN
KHSRP	NaN
PUM2	NaN
VPS39	NaN
SCFD1	NaN
