#nodeA	nodeB
BRCA1	EP300
BRCA1	FANCA
BRCA1	MSH6
BRCA1	H2AFX
BRCA1	HDAC1
BRCA1	HDAC2
BRCA1	IFI16
BRCA1	JAK1
BRCA1	JAK2
BRCA1	JUN
BRCA1	JUNB
BRCA1	JUND
BRCA1	SMAD2
BRCA1	SMAD3
BRCA1	SMAD4
BRCA1	MLH1
BRCA1	MNAT1
BRCA1	MSH2
BRCA1	MYC
BRCA1	NBN
BRCA1	NFKB1
BRCA1	NFYA
BRCA1	POU2F1
BRCA1	PPP1CA
BRCA1	RAD51
BRCA1	RB1
BRCA1	RBBP4
BRCA1	RELA
BRCA1	SP1
BRCA1	STAT1
BRCA1	STAT3
BRCA1	STAT5A
BRCA1	STK6
BRCA1	TP53
BRCA1	TP53BP1
BRCA1	TUBA1
BRCA1	TUBG1
BRCA1	USF2
BRCA1	XRCC1
BRCA1	YY1
BRCA1	SMC1L1
BRCA1	BAP1
BRCA1	BRAP
BRCA1	CCNA1
BRCA1	RAD50
BRCA1	DCLRE1C
BRCA1	BRCC3
BRCA1	BRIP1
BRCA1	TUBB
BRCA1	ATR
ATR	CHD4
ATR	CHEK1
ATR	E2F1
ATR	FLT1
ATR	KDR
ATR	MSH2
ATR	NBN
ATR	RAD17
ATR	TP53
ATR	XPA
ATR	XRCC5
BRAF	HRAS
BRAF	PRKACA
BRAF	MAPK1
BRAF	MAP2K1
BRAF	MAP2K2
BRAF	RAF1
BRAF	RAP1A
BRAF	SGK
BTK	CD19
BTK	EWSR1
BTK	GNAQ
BTK	GTF2I
BTK	HCK
BTK	IRAK1
BTK	ITK
BTK	JAK1
BTK	KIT
BTK	LYN
BTK	MYD88
BTK	PLCG2
BTK	PRKCA
BTK	PRKCB1
BTK	PRKCE
BTK	PRKD1
BTK	PRKCQ
BTK	PRKCZ
BTK	RELA
BTK	STAT5A
BTK	SYK
BTK	TEC
BTK	TLR4
BTK	VAV1
BTK	WAS
BTK	PIP5K1A
BTK	SH3BP5
BTK	TLR6
BTK	KHDRBS1
BTK	BLNK
BTK	GNG2
BTK	PIK3AP1
BTK	BMX
BMX	CASP3
BMX	ITK
BMX	KDR
BMX	PAK1
BMX	PTK2
BMX	RAP1A
BMX	STAT1
BMX	STAT3
BMX	STAT5A
BMX	TEC
BMX	TNFRSF1B
BMX	PTPN21
BRCA2	BUB1B
BRCA2	FANCG
BRCA2	FLNA
BRCA2	SMAD3
BRCA2	PLK1
BRCA2	RAD51
BRCA2	STAT5A
BRCA2	TP53
BRCA2	SHFM1
BRCA2	PCAF
BRCA2	C11orf30
C1QBP	GAB1
C1QBP	MMP14
C1QBP	PRKCA
C1QBP	PRKCD
C1QBP	PRKD1
C1QBP	PRKCZ
C1QBP	MAPK1
C1QBP	MAPK3
C1QBP	HRK
C1QBP	TOP3B
C5	C5AR1
C5AR1	GNAI2
DDR1	COL2A1
DDR1	COL3A1
DDR1	TM4SF1
DDR1	PTPN11
DDR1	RGS2
DDR1	SHC1
CACNA1A	CACNB4
CACNA1A	GNB1
CACNA1A	PPM1A
CAD	CASP3
CAD	PPP1CA
CAD	PPP2CA
CAD	PRKACA
CAD	MAPK1
ATP2B1	CALM1
ATP2B1	PRKACA
ATP2B1	PRKCA
CALD1	CALM1
CALD1	CDC2
CALD1	GRB2
CALD1	SHC1
CALM1	CAMK2G
CALM1	CCNE1
CALM1	CLTB
CALM1	CSNK2A1
CALM1	CSNK2A2
CALM1	EWSR1
CALM1	FER
CALM1	GRK4
CALM1	NR3C1
CALM1	HMMR
CALM1	HSPCA
CALM1	INSR
CALM1	ITPKB
CALM1	KRAS
CALM1	MYLK
CALM1	MYO9B
CALM1	NRGN
CALM1	PCP4
CALM1	PHKG1
CALM1	PIK3C3
CALM1	PPEF2
CALM1	PPEF1
CALM1	PTPRA
CALM1	RALA
CALM1	REL
CALM1	RELA
CALM1	RGS2
CALM1	RGS4
CALM1	RGS10
CALM1	TCF4
CALM1	TCF3
CALM1	TTN
CALM1	YWHAE
CALM1	CAMK1
CALM1	IQGAP1
CALM1	CABIN1
CALR	CD1D
CALR	F5
CALR	NR3C1
CALR	PDIA3
CALR	ITGA3
CALR	ITGAV
CALR	TAPBP
CALR	THBS1
CALR	TSHR
CALR	VWF
CAMK2G	CREM
CAMK2G	FLNA
CAMK2G	SMAD3
CAMK2G	SMAD4
CAMK2G	MYLK
CAMK2G	STAT1
CAMK2G	TIAM1
CAMK2G	PEA15
CAPN3	NFKBIA
CAPN3	TTN
CASP1	IL1B
CASP1	LMNA
CASP1	ATXN3
CASP1	NEDD4
CASP1	PAK1
CASP1	PSEN1
CASP1	PSEN2
CASP1	CARD8
CASP3	CASP4
CASP3	CASP6
CASP3	CASP8
CASP3	CASP9
CASP3	CASP10
CASP3	CDC27
CASP3	CDC42
CASP3	CDH1
CASP3	CDKN1A
CASP3	CTNNB1
CASP3	DCC
CASP3	DFFA
CASP3	EIF2S1
CASP3	EIF4G2
CASP3	FYN
CASP3	GZMB
CASP3	HCLS1
CASP3	HSPE1
CASP3	IL16
CASP3	LMNB1
CASP3	LYN
CASP3	MCL1
CASP3	MDM4
CASP3	MEF2A
CASP3	MET
CASP3	MLH1
CASP3	MYL3
CASP3	NEDD4
CASP3	PAK2
CASP3	PPP3CA
CASP3	PKN1
CASP3	PKN2
CASP3	PRKCQ
CASP3	PRKCZ
CASP3	PRKDC
CASP3	EIF2AK2
CASP3	PSEN1
CASP3	PSEN2
CASP3	PTBP1
CASP3	PTMA
CASP3	RAC1
CASP3	RAD51
CASP3	RASA1
CASP3	RB1
CASP3	ROCK1
CASP3	SP1
CASP3	SRF
CASP3	SRP72
CASP3	STK3
CASP3	STK4
CASP3	TOP1
CASP3	TRAF1
CASP3	TRAF3
CASP3	VAV1
CASP3	VIM
CASP3	WEE1
CASP3	YWHAE
CASP3	PIP5K1A
CASP3	STK24
CASP3	CFLAR
CASP3	PDCD8
CASP3	DEDD
CASP3	SLK
CASP3	PSME3
CASP3	AKAP8
CASP3	UBE4B
CASP3	MAP4K1
CASP3	MAPK8IP3
CASP3	BIRC6
CASP3	GORASP1
CASP3	BIRC3
CASP3	BIRC2
CASP3	BLM
BIRC3	CASP7
BIRC3	CASP9
BIRC3	CD40
BIRC3	GSPT1
BIRC3	TRAF1
BIRC3	TRAF2
BIRC2	CASP7
BIRC2	CASP9
BIRC2	CD40
BIRC2	GAS1
BIRC2	GSPT1
BIRC2	JUP
BIRC2	LTBR
BIRC2	TRAF1
BIRC2	TRAF2
BIRC2	IKBKG
BIRC2	TRADD
BIRC2	UBE2J1
BLM	MLH1
BLM	MX1
BLM	RAD51
BLM	RPA1
BLM	TERF2
BLM	TOP3A
BLM	TP53
BLM	WRN
BLM	SMC1L1
CASP4	CASP10
CASP4	IL1B
CASP4	PSEN1
CASP5	MAX
CASP5	NALP1
CASP5	PPHLN1
CASP7	CASP10
CASP7	CDC42
CASP7	CTSG
CASP7	DFFA
CASP7	GZMB
CASP7	HSPA5
CASP7	LYN
CASP7	MAX
CASP7	MEF2A
CASP7	NEDD4
CASP7	PRKCZ
CASP7	EIF2AK2
CASP7	PSEN1
CASP7	PSEN2
CASP7	PTMA
CASP7	RAC1
CASP7	RAD21
CASP7	RAD51
CASP7	RASA1
CASP7	RB1
CASP7	SRF
CASP7	TNFRSF1A
CASP7	VIM
CASP7	STK24
CASP7	CFLAR
CASP7	PSME3
CASP7	UBE4B
CASP7	GORASP1
CASP8	CASP10
CASP8	CDH1
CASP8	CDKN1B
CASP8	CHD3
CASP8	CHUK
CASP8	CTNNB1
CASP8	FYN
CASP8	IKBKB
CASP8	PRKCZ
CASP8	EIF2AK2
CASP8	PSEN1
CASP8	PSEN2
CASP8	RB1
CASP8	SRF
CASP8	TFCP2
CASP8	TRAF1
CASP8	TRAF2
CASP8	SUMO1
CASP8	VIM
CASP8	STK24
CASP8	IKBKG
CASP8	PIAS1
CASP8	PEA15
CASP8	RIPK1
CASP8	CRADD
CASP8	FADD
CASP8	TNFRSF10B
CASP8	CFLAR
CASP8	NOL3
CASP8	MAP3K14
CASP8	DEDD
CASP8	MAP4K4
CASP8	CASP8AP2
CASP8	FAF1
CASP8	RYBP
CASP8	BFAR
CASP8	CASP6
CASP6	CASP10
CASP6	CHD3
CASP6	EIF2S1
CASP6	LMNA
CASP6	LMNB1
CASP6	NEDD4
CASP6	PRKCZ
CASP6	PSEN1
CASP6	PSEN2
CASP6	RB1
CASP6	SATB1
CASP6	SRF
CASP6	SRP72
CASP6	TOP1
CASP6	TRAF1
CASP6	VIM
CASP6	CFLAR
CASP6	PSME3
CASP6	UBE4B
CASP9	CASP10
CASP9	DCC
CASP9	GZMB
CASP9	LYN
CASP9	BIRC1
CASP9	PRKCZ
CASP9	MAPK1
CASP9	MAPK3
CASP9	MAP2K1
CASP9	MAP2K2
CASP9	RB1
CASP9	SRF
CASP9	VIM
CASP9	BCL10
CASP9	NALP1
CASP9	CARD8
CASP9	PACAP
CASP9	CYCS
CASP9	BIRC6
CASP10	RB1
CASP10	TNFRSF1A
CASP10	TRAF1
CASP10	FADD
CASP10	CFLAR
CASP10	DEDD
CASP10	RYBP
CASP10	BFAR
CAT	PTPN11
CAT	TLR10
RUNX1	CBFB
RUNX1	CCND2
RUNX1	CCND3
RUNX1	CEBPB
RUNX1	ELF4
RUNX1	EP300
RUNX1	FOS
RUNX1	JUN
RUNX1	PAX5
RUNX1	TAZ
RUNX1	NCOR2
RUNX3	CBFB
RUNX3	EP300
RUNX3	HDAC1
RUNX3	HDAC2
RUNX3	SMAD3
RUNX2	CBFB
RUNX2	CCNB1
RUNX2	CDC2
RUNX2	CEBPB
RUNX2	DVL2
RUNX2	EP300
RUNX2	ETS1
RUNX2	FOS
RUNX2	XRCC6
RUNX2	JUN
RUNX2	SMAD2
RUNX2	SMAD3
RUNX2	MAP3K4
RUNX2	PRKCD
RUNX2	RB1
RUNX2	XRCC5
RUNX2	HDAC3
BLK	CD79A
BLK	CD79B
BLK	FCGR2A
BLK	FCGR2B
BLK	PLCG2
BLK	UBE3A
BLK	SH2BP1
BLK	BCAS2
BTG1	CCNA2
BTG1	HRMT1L2
BTG1	RARA
AREG	CCND3
AREG	MMP9
CCNB1	CCNF
CCNB1	CDC2
CCNB1	CDC25A
CCNB1	CDC25C
CCNB1	CDKN1A
CCNB1	CDKN1B
CCNB1	ITPR1
CCNB1	MEF2C
CCNB1	GADD45B
CCNB1	PCNA
CCNB1	PLK1
CCNB1	PTCH
CCNB1	PTMA
CCNB1	RAGE
CCNB1	TGFBR2
CCNB1	PKMYT1
CCNB1	PBK
CD3D	CD3G
CD3D	CD8A
CD3D	CD8B1
CD2	CD4
CD2	CD5
CD2	CD48
CD2	CD53
CD2	CD58
CD2	CD59
CD2	FYN
CD2	LCK
CD2	LGALS1
CD2	MXD1
CD2	PTPRC
CD2	SP1
CD2	PSTPIP1
CD2	CD2AP
CD2	SH3KBP1
